Year,Ward,Name,Party,Vote
2018,Brentwood North,Philip Christopher Mynott,LibDem,849
2018,Brentwood South,Gareth Paul Barrett,Labour,624
2018,Brentwood South,Brenner Jack Munden,LibDem,254
2018,Brentwood South,Garry Laurence White,Conservative,600
2018,Brentwood West,Deborah Lynn Foster,Labour,244
2018,Brentwood West,Dominic Phillip Naylor,LibDem,863
2018,Brentwood West,Sandy Tanner,Conservative,570
2018,Brizes & Doddinghurst,Hugh Maurice Gorton,LibDem,417
2018,Brizes & Doddinghurst,David Jobbins,Labour,154
2018,Brizes & Doddinghurst,Keith Parker,Conservative,957
2018,"Herongate, Ingrave & West Horndon",Amanda Helen Burton,Independent,387
2018,"Herongate, Ingrave & West Horndon",David Green,LibDem,34
2018,"Herongate, Ingrave & West Horndon",Cat Tierney,Conservative,643
2018,"Herongate, Ingrave & West Horndon",Pauline Anne Watts,Labour,74
2018,Hutton Central,Marian Jenkins,Labour,150
2018,Hutton Central,Anne Valerie Long,LibDem,134
2018,Hutton Central,Charles Henry Nolan,Conservative,695
2018,Hutton East,Jan Gearon-Simm,Independent,75
2018,Hutton East,Gary Martin Macdonnell,LibDem,115
2018,Hutton East,Olivia Maria Sanders,Conservative,447
2018,Hutton East,Jane Elizabeth Winter,Labour,144
2018,Hutton South,Francisca Jose Dapp,Labour,141
2018,Hutton South,Matthew Emerson,LibDem,103
2018,Hutton South,Roger Charles Hirst,Conservative,772
2018,"Ingatestone, Fryerning & Mountnessing",Emma Louise Benson,Labour,182
2018,"Ingatestone, Fryerning & Mountnessing",Jon Cloke,Conservative,832
2018,"Ingatestone, Fryerning & Mountnessing",Paul Francis Jeater,Green,98
2018,"Ingatestone, Fryerning & Mountnessing",Darryl Michael Sankey,LibDem,630
2018,Pilgrims Hatch,Barry Roy Aspinell,LibDem,1157
2018,Pilgrims Hatch,Tom Heard,Conservative,289
2018,Pilgrims Hatch,Liam Benjamin Preston,Labour,134
2018,Shenfield,Richard Millwood,Labour,119
2018,Shenfield,Alfred John Newberry,LibDem,703
2018,Shenfield,Jan Pound,Conservative,1007
2018,South Weald,Tim Nicholas Barrett,Labour,63
2018,South Weald,Mark Robert Lewis,LibDem,274
2018,South Weald,Tom Mclaren,Conservative,341
2018,Warley,Richard David Broomfield,Conservative,495
2018,Warley,Mark Alexander Haigh,LibDem,616
2018,Warley,Jill Felicity Hubbard,Independent,402
2018,Warley,Susan Margaret Kortlandt,Labour,229
2019,Brentwood North,Toby Blunsten,Labour,155
2019,Brentwood North,John Michael Hamilton,Green,145
2019,Brentwood North,Mark Robert Lewis,LibDem,879
2019,Brentwood North,Melissa Slade,Conservative,362
2019,Brentwood South,Tim Barrett,Labour,534
2019,Brentwood South,Jack Munden,LibDem,306
2019,Brentwood South,Andrew Wiles,Conservative,477
2019,Brentwood West,Sarah Cloke,LibDem,824
2019,Brentwood West,Deborah Foster,Labour,123
2019,Brentwood West,William Russell,Conservative,650
2019,Brentwood West,Karen Smith,Green,114
2019,Brizes & Doddinghurst,Hugh Maurice Gorton,LibDem,557
2019,Brizes & Doddinghurst,David Jobbins,Labour,84
2019,Brizes & Doddinghurst,Clifford Poppy,Conservative,805
2019,"Herongate, Ingrave & West Horndon",Anne Long,LibDem,188
2019,"Herongate, Ingrave & West Horndon",Richard Millwood,Labour,77
2019,"Herongate, Ingrave & West Horndon",Maria Pearson,Conservative,635
2019,Hutton East,Francisca Jose Dapp,Labour,180
2019,Hutton East,David Green,LibDem,161
2019,Hutton East,Christopher Hossack,Conservative,424
2019,Hutton North,Gary Martin Macdonnell,LibDem,225
2019,Hutton North,Liam Benjamin Preston,Labour,141
2019,Hutton North,Alexander Tanner,Conservative,587
2019,"Ingatestone, Fryerning & Mountnessing",Noelle Hones,Conservative,825
2019,"Ingatestone, Fryerning & Mountnessing",Paul Francis Jeater,Green,162
2019,"Ingatestone, Fryerning & Mountnessing",Paul Murphy,Labour,84
2019,"Ingatestone, Fryerning & Mountnessing",Darryl Michael Sankey,LibDem,752
2019,Pilgrims Hatch,Victoria Davis,LibDem,1063
2019,Pilgrims Hatch,Kelly Herbert,Conservative,313
2019,Pilgrims Hatch,Patricia Smith,Labour,111
2019,Shenfield,Andrew Fryd,LibDem,995
2019,Shenfield,Louise Rowlands,Conservative,780
2019,Shenfield,June Simmons,Labour,70
2019,Tipps Cross,Peter Jakobsson,Conservative,566
2019,Tipps Cross,Marian Jenkins,Labour,54
2019,Tipps Cross,Tracey Suzanne Thomas,Independent,464
2019,Warley,Jan Gearon-Simm,Green,121
2019,Warley,Stephen Green,Conservative,412
2019,Warley,Kirstian Hicks,UKIP,155
2019,Warley,Susan Kortlandt,Labour,106
2019,Warley,Jay Laplain,LibDem,783
2021,Brentwood North,Kelda Rose Boothroyd,Green,232
2021,Brentwood North,Oliver Charles Durose,Labour,191
2021,Brentwood North,Alison Elizabeth Fulcher,LibDem,748
2021,Brentwood North,April Dawn Goulding,Conservative,544
2021,Brentwood North,Robert Prince,Reform UK,45
2021,Brentwood South,Susan Margaret Kortlandt,Labour,655
2021,Brentwood South,Jack Munden,LibDem,330
2021,Brentwood South,Andrew Wiles,Conservative,665
2021,Brentwood West,Karen Louise Chilvers,Labour,737
2021,Brentwood West,David Conway,Reform UK,33
2021,Brentwood West,Deborah Lynn Foster,Labour,180
2021,Brentwood West,Jan Gearon-Simm,Green,99
2021,Brentwood West,William Russell,Conservative,883
2021,Brizes & Doddinghurst,Kevin Brailey,Labour,108
2021,Brizes & Doddinghurst,Christine Gelderbloem,Conservative,1165
2021,Brizes & Doddinghurst,Hugh Maurice Gorton,LibDem,485
2021,Hutton Central,Laura Justine Carey,LibDem,253
2021,Hutton Central,Philip Holland,Labour,139
2021,Hutton Central,Garry Laurence White,Conservative,698
2021,Hutton North,Keith Richard Barber,Conservative,756
2021,Hutton North,Sam Taylor Higgins,LibDem,204
2021,Hutton North,Liam Benjamin Preston,Labour,146
2021,Hutton South,Alexander Samuel Carter,LibDem,101
2021,Hutton South,Mark Peter Reed,Conservative,829
2021,Hutton South,Karen Smith,Green,80
2021,Hutton South,Jane Elizabeth Winter,Labour,129
